HOMOGENIZED MONTHLY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region/Country
99840;SVALBARD LUFTHAVN;1964;NA;28;78.2453;15.5015;NA;SVALBARD;NORWAY

In the table above is the homogene timeserie name and period used. R means reconstructed station timeserie.

Elements
Code;Name;Unit
TAM;Mean temperature;degC

Number of;NA;1456
Minimum;NA;-27.7
Date;NA;02.1917
Maximum;NA;9.0
Date;NA;07.2016
Total;NA;NA
Mean;NA;-5.9
<a href="http://www.zklim.umk.pl/images/stories/BofG/No3/BGPGS-No3-5-25.pdf" target="new">More about the homogenized</a> timeseries for Svalbard.




--------------------------------------------
Data valid for 30.03.2020  (CC BY 3.0), Norwegian Meteorological Institute



St.no;Month;TAM
99840;09.1898;4.4
99840;10.1898;-5.2
99840;11.1898;-11.2
99840;12.1898;-15.0
99840;01.1899;-13.7
99840;02.1899;-20.4
99840;03.1899;-23.1
99840;04.1899;-17.9
99840;05.1899;-6.7
99840;06.1899;4.3
99840;07.1899;8.2
99840;08.1899;5.0
99840;09.1899;2.5
99840;10.1899;-9.8
99840;11.1899;-12.1
99840;12.1899;-9.4
99840;01.1900;-7.7
99840;02.1900;-21.2
99840;03.1900;-22.9
99840;04.1900;-13.1
99840;05.1900;-5.9
99840;06.1900;3.6
99840;07.1900;4.6
99840;08.1900;4.2
99840;09.1900;-1.0
99840;10.1900;-6.6
99840;11.1900;-14.0
99840;12.1900;-16.7
99840;01.1901;-10.4
99840;02.1901;-26.1
99840;03.1901;-17.2
99840;04.1901;-12.9
99840;05.1901;-5.8
99840;06.1901;3.6
99840;07.1901;4.9
99840;08.1901;4.5
99840;09.1901;0.8
99840;10.1901;-5.7
99840;11.1901;-18.5
99840;12.1901;-9.9
99840;01.1902;-19.2
99840;02.1902;-22.3
99840;03.1902;-16.3
99840;04.1902;-9.9
99840;05.1902;-5.9
99840;06.1902;0.9
99840;07.1902;3.9
99840;08.1902;4.2
99840;09.1902;-2.7
99840;10.1902;-7.8
99840;11.1902;-12.6
99840;12.1902;-13.1
99840;01.1903;-14.5
99840;02.1903;-19.5
99840;03.1903;-14.2
99840;04.1903;-10.8
99840;05.1903;-3.8
99840;06.1903;2.5
99840;07.1903;4.7
99840;08.1903;4.7
99840;09.1903;0.2
99840;10.1903;-6.2
99840;11.1903;-10.8
99840;12.1903;-10.1
